VIL Call Data Records

DESTIP:-2a03:1b20:000a:f011:0000:0000:0000:e606
Report Type:-DOT Report
From Date:-2026-06-01
From Time:-14:00:00
Till Date:-2026-06-01
Till Time:-16:00:00
AuditId:-132322719_164200578_DOT
Report Date:-2026-06-08 15:18:58

SR.NO.,IMSI,IMEI,MSISDN,MAC ID,Source IP,Source Port,Destination IP,Destination Port,Translated IP,Translated Port,First Cell ID-Name/Location,Session Start date & time,Session End date & time,Duration in sec,Data Volume Uplink,Data Volume Downlink,PGW IP address,Charging ID,Access Point Name,PDP Address IPv4,PDP Address IPv6,CGI-ld,RAT,PDP-type,ESIM,IP_TYPE
4355,404438084485270,8691330417227619,8111004778,"",2402:3a80:1326:4f20:0:32:6a89:da01,47675,2a03:1b20:a:f011::e204,35378,"","",404845400340461531,01/06/2026 15:19:38,01/06/2026 15:19:38,0,468,152,203.88.18.64,315212173,www,"",2402:3a80:1326:4f20:0:32:6a89:da01,404845400340461531,4G,IPV6,N,DYNAMIC
5207,404242309271023,3563524468793301,9723779752,"",2402:3a80:464b:ff83:0:14:ac5:901,48321,2a03:1b20:a:f011::e226,2978,"","",404052504240511258,01/06/2026 15:34:47,01/06/2026 15:34:47,0,138,209,203.88.12.128,126452229,internet,"",2402:3a80:464b:ff83:0:14:ac5:901,404052504240511258,4G,IPV6,N,DYNAMIC
6375,404225034321999,3521581108271201,9881015396,"",2402:3a80:45d0:f9c6:c53b:79db:842c:2104,43199,2a03:1b20:a:f011::e005,51413,"","",404226501624644451,01/06/2026 15:56:27,01/06/2026 15:56:36,13,1290587,51139473,112.79.97.34,265269246,internet,10.163.63.107,2402:3a80:45d0:f9c6:c53b:79db:842c:2104,404226501624644451,4G,IPv4v6,N,DYNAMIC
3410,404051847396418,9112338519635301,6357239258,"",2402:3a80:16f2:5a9e:0:39:9169:7101,37575,2a03:1b20:a:f011::e00a,2097,"","",40405512854903442,01/06/2026 15:02:35,01/06/2026 15:02:36,1,1002,163,112.110.84.15,361170115,www,"",2402:3a80:16f2:5a9e:0:39:9169:7101,40405512854903442,4G,IPV6,N,DYNAMIC
803,405704529990439,3504196024788301,7654663005,"",2402:3a80:474c:17f9:0478:5634:1232:5476,52659,2a03:1b20:a:f011::::e330,65079,"","",4057015151448382,01/06/2026 14:14:13,01/06/2026 14:39:12,1800,1152788,1456274,112.110.68.173,1077557589,internet,10.61.245.139,2402:3a80:474c:17f9:0478:5634:1232:5476,4057015151448382,4G,IPv4v6,N,DYNAMIC
6201,404844255037845,8608300664304559,9025705161,"",2402:3a80:51:df95:0:5:c01f:e301,37000,2a03:1b20:a:f011::e226,2978,"","",404435455985152212,01/06/2026 15:52:42,01/06/2026 15:52:42,0,138,209,203.88.28.129,35695712,www,"",2402:3a80:51:df95:0:5:c01f:e301,404435455985152212,4G,IPV6,N,DYNAMIC
1117,404300175639502,8657150478375400,9674428069,"",2402:3a80:430c:43cf:6d5f:fcb9:ad6d:3bbd,6881,2a03:1b20:a:f011::::e401,8388,"","",404305720140140223,01/06/2026 14:19:40,01/06/2026 14:42:57,1800,11141055,137703686,203.88.11.18,1077537461,www,10.129.157.252,2402:3a80:430c:43cf:0478:5634:1232:5476,404305720140140223,4G,IPv4v6,N,DYNAMIC
4815,404051813930306,8604890666852369,9737680099,"",2402:3a80:4430:bc94:0:33:4d6:8c01,52630,2a03:1b20:a:f011::e02e,61371,"","",40405200694586543,01/06/2026 15:27:57,01/06/2026 15:27:57,0,139,192,203.88.19.32,320436498,www,"",2402:3a80:4430:bc94:0:33:4d6:8c01,40405200694586543,4G,IPV6,N,DYNAMIC
5134,405672376494370,3568601178825757,9735308236,"",2402:3a80:4338:01b6:37ef:41e8:013d:f35e,6881,2a03:1b20:a:f011::::e302,6635,"","",404305721340159633,01/06/2026 15:33:27,01/06/2026 15:41:24,1205,17540960,71183615,203.88.18.188,1879590901,iphone,10.11.115.199,2402:3a80:4338:01b6:0778:5634:1232:5476,404305721340159633,4G,IPv4v6,N,DYNAMIC
4470,405755643144318,8660880585578400,7642830413,"",2402:3a80:1c53:4105:0778:5634:1232:5476,56069,2a03:1b20:a:f011::::e401,8388,"","",405755539538018410,01/06/2026 15:21:40,01/06/2026 15:26:29,1800,7670721,180607166,203.88.20.197,1881586933,www,10.102.105.19,2402:3a80:1c53:4105:0778:5634:1232:5476,405755539538018410,4G,IPv4v6,N,DYNAMIC
