BHARTI AIRTEL LIMITED 

BIHAR JHARKHAND 

Call Details of CELL ID '405-52-792-20691' from '11-Jun-2026 00:00:00' to '11-Jun-2026 23:59:59' 

Target No,Call Type,TOC,B Party No,LRN No,LRN TSP-LSA,Date,Time,Dur(s),First CGI Lat/Long,First CGI,Last CGI Lat/Long,Last CGI,SMSC No,Service Type,IMEI,IMSI,Call Fow No,Roam Nw,SW & MSC ID,IN TG,OUT TG,Vowifi First UE IP,Port1,Vowifi Last UE IP,Port2
'7258018969',IN,Pre,'6201656558',3087,RJIL-BR,'11/06/2026',00:23:57,347,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'353902187972440','405524214045044',-,AIR BHR,'9934129181',0884,,,,,
'8409495201',IN,Pre,'7903183299',3087,RJIL-BR,'11/06/2026',00:30:04,44,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'354041635930640','405523220159355',-,AIR BHR,'9934129181',1202,,,,,
'7033046485',IN,Pre,'9523500902',2726,AIR-BR,'11/06/2026',01:38:57,386,25.3987588/85.9133416,405-52-792-20691,25.3876427/85.9178769,405-52-792-4669,'-',Voice,'352239848912810','405525211411833',-,AIR BHR,'9934129181',1838,,,,,
'8651505442',IN,Pre,'9905137214',3087,RJIL-BR,'11/06/2026',02:24:40,110,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'350561944939940','405521224513272',-,AIR BHR,'9934129179',2555,,,,,
'8092844179',IN,Pre,'9263697662',3087,RJIL-BR,'11/06/2026',02:42:30,193,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'354162213727360','405523225849279',-,AIR BHR,'9934129181',5160,,,,,
'9801867196',IN,Pre,'9204131730',3087,RJIL-BR,'11/06/2026',03:21:59,32,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'358643195979200','405524224106810',-,AIR BHR,'9934129181',0879,,,,,
'8877887465',OUT,Pre,'9266585920',2727,AIR-DL,'11/06/2026',03:22:00,23,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'353510874449700','405523200967053',-,AIR BHR,'9934129181',,1013,,,,
'8877887465',OUT,Pre,'9266585920',2727,AIR-DL,'11/06/2026',03:23:05,413,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'353510874449700','405523200967053',-,AIR BHR,'9934129181',,1013,,,,
'8877887465',OUT,Pre,'9266585920',2727,AIR-DL,'11/06/2026',03:30:14,455,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'353510874449700','405523200967053',-,AIR BHR,'9934129181',,1013,,,,
'7739463447',OUT,Pre,'7549592818',4126,VODA-BR,'11/06/2026',03:30:37,76,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'357660732265570','405523221848412',-,AIR BHR,'9934129179',,1608,,,,
'9006026691',IN,Pre,'6206811022',3087,RJIL-BR,'11/06/2026',03:52:01,16,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'359092261085420','405521211129906',-,AIR BHR,'9934129181',0884,,,,,
'9006026691',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',03:52:18,0,25.3987588/85.9133416,405-52-792-20691,,---,'919831029344',SMS,'359092261085420','405521211129906',-,AIR BHR,'9934129181',,,,,,
'9006026691',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',03:52:23,0,25.3987588/85.9133416,405-52-792-20691,,---,'919831029344',SMS,'359092261085420','405521211129906',-,AIR BHR,'9934129181',,,,,,
'9006026691',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',03:52:29,0,25.3987588/85.9133416,405-52-792-20691,,---,'919831029344',SMS,'359092261085420','405521211129906',-,AIR BHR,'9934129181',,,,,,
'9006026691',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',03:52:31,0,25.3987588/85.9133416,405-52-792-20691,,---,'919831029344',SMS,'359092261085420','405521211129906',-,AIR BHR,'9934129181',,,,,,
'9006026691',IN,Pre,'6206811022',3087,RJIL-BR,'11/06/2026',03:52:49,39,25.3987588/85.9133416,405-52-792-20691,25.3987588/85.9133416,405-52-792-20691,'-',Voice,'359092261085420','405521211129906',-,AIR BHR,'9934129181',0879,,,,,
'9006026691',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',03:53:28,0,25.3987588/85.9133416,405-52-792-20691,,---,'919831029344',SMS,'359092261085420','405521211129906',-,AIR BHR,'9934129181',,,,,,
'9006026691',SMT,Pre,'AB-AIRTEL-S',,-,'11/06/2026',03:53:34,0,25.3987588/85.9133416,405-52-792-20691,,---,'919831029344',SMS,'359092261085420','405521211129906',-,AIR BHR,'9934129181',,,,,,
