BHARTI AIRTEL LTD

Pan India

GPRS OF CELL ID : 405-52-2325-233856799 from 11-Jun-2026 19:40:00 to 11-Jun-2026 21:00:00

 Mobile No.,IP Address,IMEI,IMSI,Downlink Vol,Uplink Vol,Total Vol,Session Start Time,Session End Time, Pre/Post,Roaming Circle,2g/4g/5g,ICR Operator Name,Home Circle,IP,  CGI Latitude, CGI Longitude, CGI
7479601238,100.70.166.129,8647820654926978,405526218944794,0,0,0,11-Jun-2026 17:42:43,11-Jun-2026 19:42:43,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:126c:da87:1:2:aad6:95e,25.5351079,86.6150462,405-52-2325-233856799
9877910462,100.67.99.225,8600050858678301,404490912126865,172589640,12615977,185205617,11-Jun-2026 17:47:38,11-Jun-2026 19:43:59,Pre,BIHAR-JHAR,4G,,AP,2401:4900:121f:efd:2:2:80ca:a95d,25.5351079,86.6150462,405-52-2325-233856799
7428355653,100.92.69.118,8626110692180455,404100541028258,430097,369392,799489,11-Jun-2026 17:59:08,11-Jun-2026 19:58:06,Pre,BIHAR-JHAR,4G,,DELHI,2401:4900:362f:8b57:1:1:7ff8:9035,25.5351079,86.6150462,405-52-2325-233856799
8210994918,100.93.4.217,3590779717314101,405521228146062,0,0,0,11-Jun-2026 18:03:27,11-Jun-2026 20:03:27,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:3627:2632:1:1:86db:3f26,25.5351079,86.6150462,405-52-2325-233856799
7321988127,100.97.51.43,3529821021497501,405525210402072,60679807,4145358,64825165,11-Jun-2026 18:12:24,11-Jun-2026 20:12:14,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73fb:81af:2cde:72bf:c47d:b17,25.5351079,86.6150462,405-52-2325-233856799
5754222502281,10.158.109.85,8600570691508300,404100592369102,8514,8999,17513,11-Jun-2026 18:13:53,11-Jun-2026 20:10:35,Post,BIHAR-JHAR,4G,,DELHI,,25.5351079,86.6150462,405-52-2325-233856799
9631648585,100.97.160.8,8625600605203278,405523207309912,30709262,5681171,36390433,11-Jun-2026 18:14:36,11-Jun-2026 20:14:28,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73fb:f736:8fb4:6fa3:cc01:280f,25.5351079,86.6150462,405-52-2325-233856799
7484913795,100.113.68.88,8620480503169423,405524217850724,1968191,997554,2965745,11-Jun-2026 18:14:39,11-Jun-2026 20:14:26,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73f8:5a38:cb50:9398:f1a3:f091,25.5351079,86.6150462,405-52-2325-233856799
8628842478,100.69.187.114,3501915065363201,404030996958281,183156676,9022920,192179596,11-Jun-2026 18:16:05,11-Jun-2026 20:12:53,Pre,BIHAR-JHAR,4G,,HP,2401:4900:3c8c:233a:cce0:42b7:81f3:d89c,25.5351079,86.6150462,405-52-2325-233856799
9471445866,100.109.163.238,8698050571324023,405522219595237,0,0,0,11-Jun-2026 18:18:48,11-Jun-2026 20:18:48,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:120a:ba4d:1:1:4917:dae5,25.5351079,86.6150462,405-52-2325-233856799
9631648585,100.97.160.8,8625600605203278,405523207309912,36688,20328,57016,11-Jun-2026 18:19:45,11-Jun-2026 20:13:31,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73fb:f736:8fb4:6fa3:cc01:280f,25.5351079,86.6150462,405-52-2325-233856799
8292865734,100.86.136.226,8600930634908578,405525212372311,0,0,0,11-Jun-2026 18:23:45,11-Jun-2026 20:23:45,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:3992:9dda:1:2:a155:46d8,25.5351079,86.6150462,405-52-2325-233856799
9352994955,100.99.72.87,8664360483301122,405525211625763,212521492,7764990,220286482,11-Jun-2026 18:23:55,11-Jun-2026 20:02:46,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73fd:c5eb:f1d1:7709:582c:2f89,25.5351079,86.6150462,405-52-2325-233856799
6203127350,100.91.167.230,8618960689296978,405523226212438,226882997,24138019,251021016,11-Jun-2026 18:24:10,11-Jun-2026 19:57:47,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:710d:d24e:0:0:122d:935f,25.5351079,86.6150462,405-52-2325-233856799
6202251322,100.73.229.128,3595315657894378,405525216407819,8152519,2836630,10989149,11-Jun-2026 18:28:18,11-Jun-2026 20:23:22,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:7104:f3ab:0:0:123c:2f98,25.5351079,86.6150462,405-52-2325-233856799
9546263572,100.67.220.213,8628400691409733,405524226434200,10092219,6276120,16368339,11-Jun-2026 18:29:11,11-Jun-2026 20:29:01,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:3850:84a4:68a1:c17c:8cd0:3a03,25.5351079,86.6150462,405-52-2325-233856799
9546263572,100.67.220.213,8628400691409733,405524226434200,2963736,1805715,4769451,11-Jun-2026 18:29:27,11-Jun-2026 20:29:01,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:3850:84a4:68a1:c17c:8cd0:3a03,25.5351079,86.6150462,405-52-2325-233856799
9525693133,100.89.216.98,3563296405097801,405525220349576,60101016,4535075,64636091,11-Jun-2026 18:30:12,11-Jun-2026 19:52:30,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:715c:edc4:0:0:c29:5034,25.5351079,86.6150462,405-52-2325-233856799
6299325565,100.78.150.242,8670950556304723,405525224739503,79219148,11918886,91138034,11-Jun-2026 18:31:33,11-Jun-2026 20:26:37,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:7107:4a6f:0:0:a2c:a6c8,25.5351079,86.6150462,405-52-2325-233856799
8651219434,100.116.198.37,8637730703389878,405522228289988,3203035,1112637,4315672,11-Jun-2026 18:31:52,11-Jun-2026 20:29:54,Pre,BIHAR-JHAR,4G,,BIHAR-JHAR,2401:4900:73fb:ceb6:e989:4fae:a2a8:7015,25.5351079,86.6150462,405-52-2325-233856799
